WHO Region,WHO Country Name,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%)
Region of the Americas,Canada,6.641581798483207,13.651172413793104,11.27095166163142,96.32727506756474,92.4471518682662,96.93489425981873
Region of the Americas,Chile,24.97741116751269,54.20216494845361,16.506,94.98321718931476,96.39812409812409,92.85151515151514
Region of the Americas,Colombia,19.934489795918367,43.22853333333333,25.785500000000003,64.40946353427924,82.54103652968035,79.29095890410959
Region of the Americas,Costa Rica,21.675,27.0625,40.71,69.0,100.0,100.0
Region of the Americas,Cuba,34.8,,,65.0,,
Region of the Americas,Ecuador,16.779090909090908,38.16833333333333,20.89764705882353,,,
Region of the Americas,El Salvador,34.65625,,,82.57142857142857,,
Region of the Americas,Guatemala,30.01666666666667,53.05,34.355000000000004,17.0,,
Region of the Americas,Honduras,36.0,43.25,,,,
Region of the Americas,Jamaica,,38.641000000000005,,,55.553333333333335,
Region of the Americas,Mexico,23.026333333333334,49.11094736842105,30.5258,79.55764512055323,82.84102830728463,86.82663924447392
Region of the Americas,Panama,14.0,31.1,,,,
Region of the Americas,Paraguay,18.4,,,,,
Region of the Americas,Peru,29.7731914893617,70.2635,19.34446808510638,62.5602848362554,75.53857142838092,24.444444444444446
Region of the Americas,Trinidad and Tobago,12.466666666666667,26.24375,9.6,68.28,62.0,51.45
Region of the Americas,United States of America,8.844305135951663,19.933639846743297,14.655616291532692,,,
Region of the Americas,Uruguay,10.0,22.415,,81.0958904109589,48.2191780821917,
Region of the Americas,Venezuela (Bolivarian Republic of),35.0,47.0,,,,
South East Asia Region,Bangladesh,75.127,139.3856140350877,33.87567567567568,71.46001232026143,70.29277895217687,68.39652421632478
South East Asia Region,Bhutan,,95.0,,,,
South East Asia Region,India,40.444798099762465,98.32451963241436,21.966095729704364,72.79607289612245,86.65028940830032,83.68570592856686
South East Asia Region,Indonesia,35.82416666666666,,,76.24971522272727,,
South East Asia Region,Maldives,,20.0,,,,
South East Asia Region,Myanmar,18.08,70.30555555555556,6.8149999999999995,47.0,78.60576921826922,94.71153846153845
South East Asia Region,Nepal,34.979565217391304,43.81611111111111,,61.46503027792804,62.130415263748574,
South East Asia Region,Sri Lanka,28.876666666666665,64.0,,64.43804014999999,,
South East Asia Region,Thailand,24.763030303030305,43.257009345794394,19.75157894736842,85.83355654761904,71.52883993093783,79.56106174667816
Western Pacific Region,Australia,8.417,17.335972222222225,9.772121212121213,95.79495446265938,96.15424393862571,65.47879865861837
